Symbol,DATE,CLOSE,Sector
RELIANCE,2020-03-09,1114.15,oil_refineries
SBIN,2020-03-09,253.45,banks
ICICIBANK,2020-03-09,457.75,banks
HDFCBANK,2020-03-09,1107.3,banks
BPCL,2020-03-09,423.85,oil_refineries
YESBANK,2020-03-09,21.25,banks
BAJFINANCE,2020-03-09,8207.1,finance
INDUSINDBK,2020-03-09,903.1,banks
HDFC,2020-03-09,2027.9,finance
TCS,2020-03-09,1972.35,it
AXISBANK,2020-03-09,623.55,banks
LT,2020-03-09,1101.95,infra
TATAMOTORS,2020-03-09,105.7,auto
KOTAKBANK,2020-03-09,1578.15,banks
BHARTIARTL,2020-03-09,496.25,telecommunications
INFY,2020-03-09,704.45,it
POWERGRID,2020-03-09,180.95,power
MARUTI,2020-03-09,6201.1,auto
ONGC,2020-03-09,74.55,oil_refineries
TATASTEEL,2020-03-09,322.3,iron_steel
ASIANPAINT,2020-03-09,1867.15,chemical
HINDUNILVR,2020-03-09,2121.5,personal_care
SUNPHARMA,2020-03-09,393.35,pharmaceuticals
NTPC,2020-03-09,102.9,power
ZEEL,2020-03-09,194.45,media_entmt
COALINDIA,2020-03-09,157.95,mining
ITC,2020-03-09,177.2,other
VEDL,2020-03-09,94.9,mining
EICHERMOT,2020-03-09,17885.8,auto
IOC,2020-03-09,99.4,oil_refineries
DRREDDY,2020-03-09,3061.25,pharmaceuticals
BAJAJFINSV,2020-03-09,8207.1,finance
TITAN,2020-03-09,1203.45,other
TECHM,2020-03-09,704.8,it
ULTRACEMCO,2020-03-09,4097.35,chemical
UPL,2020-03-09,513.0,chemical
M&M,2020-03-09,463.2,auto
HCLTECH,2020-03-09,540.45,it
NESTLEIND,2020-03-09,16031.35,food
WIPRO,2020-03-09,214.4,it
BAJAJ-AUTO,2020-03-09,2573.35,auto
BRITANNIA,2020-03-09,2996.5,food
JSWSTEEL,2020-03-09,229.05,iron_steel
GRASIM,2020-03-09,634.6,other
GAIL,2020-03-09,100.45,oil_refineries
HEROMOTOCO,2020-03-09,1956.05,auto
HINDALCO,2020-03-09,143.45,iron_steel
INFRATEL,2020-03-09,211.0,telecommunications
CIPLA,2020-03-09,426.15,pharmaceuticals
ADANIPORTS,2020-03-09,321.9,infra
RELIANCE,2020-03-06,1271.0,oil_refineries
SBIN,2020-03-06,270.5,banks
ICICIBANK,2020-03-06,486.35,banks
HDFCBANK,2020-03-06,1134.9,banks
BPCL,2020-03-06,403.1,oil_refineries
YESBANK,2020-03-06,16.15,banks
BAJFINANCE,2020-03-06,8603.2,finance
INDUSINDBK,2020-03-06,1014.8,banks
HDFC,2020-03-06,2109.45,finance
TCS,2020-03-06,2116.45,it
AXISBANK,2020-03-06,657.65,banks
LT,2020-03-06,1158.9,infra
TATAMOTORS,2020-03-06,114.2,auto
KOTAKBANK,2020-03-06,1631.05,banks
BHARTIARTL,2020-03-06,519.15,telecommunications
INFY,2020-03-06,738.95,it
POWERGRID,2020-03-06,190.6,power
MARUTI,2020-03-06,6445.95,auto
ONGC,2020-03-06,88.5,oil_refineries
TATASTEEL,2020-03-06,351.5,iron_steel
ASIANPAINT,2020-03-06,1877.45,chemical
HINDUNILVR,2020-03-06,2188.9,personal_care
SUNPHARMA,2020-03-06,400.9,pharmaceuticals
NTPC,2020-03-06,105.15,power
ZEEL,2020-03-06,221.15,media_entmt
COALINDIA,2020-03-06,168.75,mining
ITC,2020-03-06,181.75,other
VEDL,2020-03-06,111.05,mining
EICHERMOT,2020-03-06,17743.55,auto
IOC,2020-03-06,100.8,oil_refineries
DRREDDY,2020-03-06,3170.95,pharmaceuticals
BAJAJFINSV,2020-03-06,8603.2,finance
TITAN,2020-03-06,1242.6,other
TECHM,2020-03-06,740.4,it
ULTRACEMCO,2020-03-06,4167.85,chemical
UPL,2020-03-06,513.6,chemical
M&M,2020-03-06,471.0,auto
HCLTECH,2020-03-06,566.2,it
NESTLEIND,2020-03-06,16429.3,food
WIPRO,2020-03-06,223.55,it
BAJAJ-AUTO,2020-03-06,2735.05,auto
BRITANNIA,2020-03-06,3081.4,food
JSWSTEEL,2020-03-06,238.8,iron_steel
GRASIM,2020-03-06,665.05,other
GAIL,2020-03-06,107.8,oil_refineries
HEROMOTOCO,2020-03-06,2038.3,auto
HINDALCO,2020-03-06,150.1,iron_steel
INFRATEL,2020-03-06,203.7,telecommunications
CIPLA,2020-03-06,434.4,pharmaceuticals
ADANIPORTS,2020-03-06,341.4,infra
RELIANCE,2020-03-05,1311.15,oil_refineries
SBIN,2020-03-05,288.5,banks
ICICIBANK,2020-03-05,504.5,banks
HDFCBANK,2020-03-05,1151.35,banks
BPCL,2020-03-05,418.4,oil_refineries
YESBANK,2020-03-05,36.8,banks
BAJFINANCE,2020-03-05,8879.9,finance
INDUSINDBK,2020-03-05,1075.0,banks
HDFC,2020-03-05,2195.05,finance
TCS,2020-03-05,2125.05,it
AXISBANK,2020-03-05,677.9,banks
LT,2020-03-05,1182.45,infra
TATAMOTORS,2020-03-05,125.75,auto
KOTAKBANK,2020-03-05,1651.35,banks
BHARTIARTL,2020-03-05,526.9,telecommunications
INFY,2020-03-05,754.6,it
POWERGRID,2020-03-05,195.95,power
MARUTI,2020-03-05,6365.95,auto
ONGC,2020-03-05,92.6,oil_refineries
TATASTEEL,2020-03-05,375.75,iron_steel
ASIANPAINT,2020-03-05,1874.45,chemical
HINDUNILVR,2020-03-05,2218.0,personal_care
SUNPHARMA,2020-03-05,404.9,pharmaceuticals
NTPC,2020-03-05,107.85,power
ZEEL,2020-03-05,238.15,media_entmt
COALINDIA,2020-03-05,177.15,mining
ITC,2020-03-05,188.05,other
VEDL,2020-03-05,117.1,mining
EICHERMOT,2020-03-05,17775.35,auto
IOC,2020-03-05,104.8,oil_refineries
DRREDDY,2020-03-05,3184.45,pharmaceuticals
BAJAJFINSV,2020-03-05,8879.9,finance
TITAN,2020-03-05,1259.15,other
TECHM,2020-03-05,756.1,it
ULTRACEMCO,2020-03-05,4205.55,chemical
UPL,2020-03-05,516.05,chemical
M&M,2020-03-05,479.3,auto
HCLTECH,2020-03-05,576.4,it
NESTLEIND,2020-03-05,16576.3,food
WIPRO,2020-03-05,229.7,it
BAJAJ-AUTO,2020-03-05,2703.65,auto
BRITANNIA,2020-03-05,3127.15,food
JSWSTEEL,2020-03-05,247.15,iron_steel
GRASIM,2020-03-05,680.3,other
GAIL,2020-03-05,106.8,oil_refineries
HEROMOTOCO,2020-03-05,2063.9,auto
HINDALCO,2020-03-05,155.5,iron_steel
INFRATEL,2020-03-05,214.7,telecommunications
CIPLA,2020-03-05,440.6,pharmaceuticals
ADANIPORTS,2020-03-05,349.15,infra
RELIANCE,2020-03-04,1339.7,oil_refineries
SBIN,2020-03-04,285.3,banks
ICICIBANK,2020-03-04,508.35,banks
HDFCBANK,2020-03-04,1148.85,banks
BPCL,2020-03-04,418.7,oil_refineries
YESBANK,2020-03-04,29.3,banks
BAJFINANCE,2020-03-04,8799.7,finance
INDUSINDBK,2020-03-04,1065.95,banks
HDFC,2020-03-04,2206.05,finance
TCS,2020-03-04,2083.2,it
AXISBANK,2020-03-04,682.2,banks
LT,2020-03-04,1176.65,infra
TATAMOTORS,2020-03-04,126.2,auto
